Local Authorities,Designated Family Ct,RefData Court Name,Local Custodian code,Specific PostCodes,Excludes,epimms,Address,emailAddress,Status
Coventry City Council,Coventry Combined Court Centre,Coventry Combined Court Centre,4610,,,497679,"Much Park Street, Coventry, CV1 2SN",,Open
Cumberland Council,Carlisle Combined Court,Carlisle Combined Court,940,,,45106,"Courts of Justice, Earl Street, CA1 1DJ",,Open
Cyngor Gwynedd  Council,Caernarfon DFC,Caernarfon Justice Centre,6810,,,366572,"Llanberis Road, LL55 2DF",,Open
Darlington Borough Council ,Teesside Combined Court ,Teesside Combined Court Centre,1350,,,195537,"The Combined Centre, Russell Street, Middlesbrough, TS1 2AE",,Open
Denbighshire County  Council,Wrexham DFC,Wrexham County & Family Court,6830,,,637145,"Bodhyfyd, The Law Courts, LL12 7BP",,Open
Derby City Council,Derby Combined Court Centre,Derby Combined Court Centre,1055,,,201339,"The Morledge, DE1 2XE",,Open
Derbyshire County Council,Derby Combined Court Centre,Derby Combined Court Centre,1050,,,201339,"The Morledge, DE1 2XE",,Open
Doncaster Council ,Sheffield Designated Family Court,Sheffield Designated Family Court,4410,,,778638,"48 West Bar, Sheffield, South Yorkshire, S3 8PH",,Open
Dudley Metropolitan Borough Council,Wolverhampton Combined Court Centre,Wolverhampton Combined Court Centre,4615,,,41047,"Pipers Row, Wolverhampton, WV1 3LQ",,Open
Durham County Council,Newcastle Combined Court,Newcastle Civil And Family Courts And Tribunals Centre,1355,,,366796,"Barras Bridge, Newcastle-Upon-Tyne, NE1 8QF",,Open
Durham County Council ,Teesside Combined Court ,Teesside Combined Court Centre,1355,,,195537,"The Combined Centre, Russell Street, Middlesbrough, TS1 2AE",,Open
East Riding of Yorkshire Council ,Kingston upon Hull Combined Court,Kingston-Upon-Hull Combined Court Centre,2001,,,195520,"The Combined Court Centre, HU1 2EZ",,Open
East Sussex County Council,Brighton DFC,Brighton County And Family Court,1440,,,298390,"1 Edward Street, Brighton, East Sussex, BN2 0JD",,Open
Essex County Council,Chelmsford DFC,Chelmsford County And Family Court,1585,,,816875,"Priory Place, New London Road, CM2 0PP, CM2 0PP",,Open
Flintshire County Council,Wrexham DFC,Wrexham County & Family Court,6835,,,637145,"Bodhyfyd, The Law Courts, LL12 7BP",,Open
Gateshead Metropolitan District Council ,Newcastle Combined Court,Newcastle Civil And Family Courts And Tribunals Centre,4505,,,366796,"Barras Bridge, Newcastle-Upon-Tyne, NE1 8QF",,Open
Halton Borough Council,Liverpool Civil and Family Court,Liverpool Civil and Family Court,650,,,345663,"Vernon Street, City Square, L2 2BX",,Closed
Herefordshire Council,Worcester Combined Court,Worcester Combined Court,1850,,,102050,"Shire Hall, Foregate Street, WR1 1EQ",,Open
Hertfordshire County Council,Watford County Court,Watford County Court and Family Court,1900,,,403751,"Station Road, Cassiobury House, WD17 1EZ",,Open
Hull City Council ,Kingston upon Hull Combined Court,Kingston-Upon-Hull Combined Court Centre,2004,,,195520,"The Combined Court Centre, HU1 2EZ",,Open
Isle of Anglesey County  Council,Caernarfon DFC,Caernarfon Justice Centre,6805,,,366572,"Llanberis Road, LL55 2DF",,Open
Kent County Council,Canterbury DFC,Canterbury Combined Court Centre,2275,,,259679,"The Law Courts, Chaucer Barracks, Chaucer Road, CT1 1ZA",,Open
Kirklees Council ,Leeds Combined Court,Leeds Combined Court Centre,4715,,,455174,"Oxford Row, LS1 3BG",,Open
Knowsley Metropolitan Borough Council,Liverpool Civil and Family Court,Liverpool Civil and Family Court,4305,,,345663,"Vernon Street, City Square, L2 2BX",,Closed
Lancashire County Council,Preston Crown Court and Family Court (Sessions House),Preston Combined Court Centre,2371,,,232580,"The Law Courts, Openshaw Place, Ringway, PR1 2LL",,Open
